orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10377,2005-02-09,2005-02-21,2005-02-12,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",186
10378,2005-02-10,2005-02-18,2005-02-11,Shipped,,141
10379,2005-02-10,2005-02-18,2005-02-11,Shipped,,141
10380,2005-02-16,2005-02-24,2005-02-18,Shipped,,141
10381,2005-02-17,2005-02-25,2005-02-18,Shipped,,321
10382,2005-02-17,2005-02-23,2005-02-18,Shipped,Custom shipping instructions sent to warehouse,124
10383,2005-02-22,2005-03-02,2005-02-25,Shipped,,141
10384,2005-02-23,2005-03-06,2005-02-27,Shipped,,321
10385,2005-02-28,2005-03-09,2005-03-01,Shipped,,124
10386,2005-03-01,2005-03-09,2005-03-06,Resolved,Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models.,141
10387,2005-03-02,2005-03-09,2005-03-06,Shipped,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,148
10388,2005-03-03,2005-03-11,2005-03-09,Shipped,,462
10389,2005-03-03,2005-03-09,2005-03-08,Shipped,,448
10390,2005-03-04,2005-03-11,2005-03-07,Shipped,They want to reevaluate their terms agreement with Finance.,124
10391,2005-03-09,2005-03-20,2005-03-15,Shipped,,276
10392,2005-03-10,2005-03-18,2005-03-12,Shipped,,452
10393,2005-03-11,2005-03-22,2005-03-14,Shipped,They want to reevaluate their terms agreement with Finance.,323
10394,2005-03-15,2005-03-25,2005-03-19,Shipped,,141
10395,2005-03-17,2005-03-24,2005-03-23,Shipped,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,250
10396,2005-03-23,2005-04-02,2005-03-28,Shipped,,124
10397,2005-03-28,2005-04-09,2005-04-01,Shipped,,242
10398,2005-03-30,2005-04-09,2005-03-31,Shipped,,353
10399,2005-04-01,2005-04-12,2005-04-03,Shipped,,496
10400,2005-04-01,2005-04-11,2005-04-04,Shipped,Customer requested that DHL is used for this shipping,450
10401,2005-04-03,2005-04-14,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,328
10402,2005-04-07,2005-04-14,2005-04-12,Shipped,,406
10403,2005-04-08,2005-04-18,2005-04-11,Shipped,,201
10404,2005-04-08,2005-04-14,2005-04-11,Shipped,,323
10405,2005-04-14,2005-04-24,2005-04-20,Shipped,,209
10406,2005-04-15,2005-04-25,2005-04-21,Disputed,Customer claims container with shipment was damaged during shipping and some items were missing. I am talking to FedEx about this.,145
10407,2005-04-22,2005-05-04,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,450
10408,2005-04-22,2005-04-29,2005-04-27,Shipped,,398
10409,2005-04-23,2005-05-05,2005-04-24,Shipped,,166
10410,2005-04-29,2005-05-10,2005-04-30,Shipped,,357
10411,2005-05-01,2005-05-08,2005-05-06,Shipped,,233
10412,2005-05-03,2005-05-13,2005-05-05,Shipped,,141
10413,2005-05-05,2005-05-14,2005-05-09,Shipped,Customer requested that DHL is used for this shipping,175
10414,2005-05-06,2005-05-13,,On Hold,Customer credit limit exceeded. Will ship when a payment is received.,362
10415,2005-05-09,2005-05-20,2005-05-12,Disputed,Customer claims the scales of the models don't match what was discussed. I keep all the paperwork though to prove otherwise,471
10416,2005-05-10,2005-05-16,2005-05-14,Shipped,,386
10417,2005-05-13,2005-05-19,2005-05-19,Disputed,Customer doesn't like the colors and precision of the models.,141
10418,2005-05-16,2005-05-24,2005-05-20,Shipped,,412
10419,2005-05-17,2005-05-28,2005-05-19,Shipped,,382
10420,2005-05-29,2005-06-07,,In Process,,282
10421,2005-05-29,2005-06-06,,In Process,Custom shipping instructions were sent to warehouse,124
10422,2005-05-30,2005-06-11,,In Process,,157
10423,2005-05-30,2005-06-05,,In Process,,314
10424,2005-05-31,2005-06-08,,In Process,,141
10425,2005-05-31,2005-06-07,,In Process,,119
