ts,kind_brand,kind_category,idtype_count,device_cummulative_cnts
2022-01-13,Bluesound,Speaker,7,95
2022-01-13,roost,Smart Monitor,1,4
2022-01-13,LG,TV,9,63681
2022-01-13,Xerox,Printer,5,2466
2022-01-13,SolarCity,Solar,1,62
2022-01-13,X92,Tablet,1,5
2022-01-13,Sling,Set Top Box,1,211
2022-01-13,MW22,Tablet,1,2
2022-01-13,Satechi,Plug,1,8
2022-01-13,onn,TV,18,10227
2022-01-13,Sonos,Speaker,28,37555
2022-01-13,Roost,Sensor,1,79
2022-01-13,Nuvo,Media Player,1,336
2022-01-13,Invoxia,Speaker,1,9
2022-01-13,LOL,Tablet,1,1
2022-01-13,Ultraloq,Doorlock,1,293
2022-01-13,Ticwatch,Watch,5,7
2022-01-13,V919,Tablet,1,1
2022-01-13,MaiTai,Tablet,1,132
2022-01-13,Kodi,Media Player,1,20
2022-01-13,TangoTab,Tablet,1,1
2022-01-13,Hybrid,Tablet,1,7
2022-01-13,Linsay,Tablet,2,4
2022-01-13,Remootio,Garage Opener,1,26
2022-01-13,Control4,Tablet,2,22
2022-01-13,GoHawk,Speaker,1,3
2022-01-13,Halo,Doorlock,1,31
2022-01-13,InFocus,TV,1,15
2022-01-13,Mads,TV,1,1
2022-01-13,Netgear,Set Top Box,1,1
2022-01-13,Amazon,TV,10,55568
2022-01-13,Skylight,Picture Frame,1,1296
2022-01-13,Bissell,Robot Vacuum Cleaner,1,466
2022-01-13,Sricam,Camera,1,78
2022-01-13,August,Doorlock,1,441
2022-01-13,LG,Oven,1,10
2022-01-13,Ryans,TV,1,1
2022-01-13,TomTom,WiFi Tracker,1,86
2022-01-13,BaMaJe,TV,1,1
2022-01-13,Navien,Smart Appliance,1,48
2022-01-13,LeEco,TV,1,1
2022-01-13,UMC-Sharp,TV,1,1
2022-01-13,MXQ,Set Top Box,1,17
2022-01-13,YF,Tablet,1,13
2022-01-13,CDN,Tablet,1,1
2022-01-13,Nicks,TV,1,1
2022-01-13,Kodak,Printer,6,212
2022-01-13,Victron Energy,Smart Monitor,1,3
2022-01-13,Foxtel,Set Top Box,2,47
2022-01-13,eufy,Robot Vacuum Cleaner,1,1447
2022-01-13,Philips,Smart Appliance,1,4
2022-01-13,ATOTO,Car,1,440
2022-01-13,NuCam,Camera,1,10
2022-01-13,Connors,TV,1,1
2022-01-13,Zonko,Tablet,1,1
2022-01-13,Alpine,Smart Appliance,1,2
2022-01-13,Switchmate,Plug,1,2
2022-01-13,Marshall,Camera,1,2
2022-01-13,Comigo,Tablet,1,1
2022-01-13,Soniq,Tablet,1,1
2022-01-13,EZ,Tablet,2,3
2022-01-13,T30,Tablet,1,3
2022-01-13,Super,Set Top Box,1,1
2022-01-13,Winamp,Laptop & Computer,1,1
2022-01-13,Big Ass Fans,Smart Appliance,2,157
2022-01-13,Twinkly,Light Bulb,1,1573
2022-01-13,SkystreamX,Tablet,1,1
2022-01-13,Tonal,Fitness Trainer & Bike,1,284
2022-01-13,Emporia,Smart Appliance,1,174
2022-01-13,Como Audio,Media Player,4,18
2022-01-13,Maximus,Tablet,1,2
2022-01-13,8H94A,Tablet,1,1
2022-01-13,Grace Digital,Media Player,1,28
2022-01-13,Honeywell,Camera,2,28
2022-01-13,A7,Tablet,1,2
2022-01-13,Google,Camera,2,12387
2022-01-13,Raspberry Pi,Game Console,1,71
2022-01-13,P212,Tablet,1,1
2022-01-13,Viessmann,Smart Appliance,1,2
2022-01-13,hisense,TV,1,2
2022-01-13,Kims,TV,2,2
2022-01-13,KIDS705,Tablet,1,8
2022-01-13,Nikon,Camera,1,1
2022-01-13,Toshiba,Printer,1,17
2022-01-13,CamelToe,TV,1,1
2022-01-13,Formlabs 3D,Printer,1,1
2022-01-13,Bs,TV,1,1
2022-01-13,Samsung,Dishwasher,1,368
2022-01-13,Abode,Home Security,1,95
2022-01-13,kays,TV,1,1
2022-01-13,John Deere,Camera,1,11
2022-01-13,HP,Tablet,15,52
2022-01-13,Etekcity,Light Switch,1,33
2022-01-13,Chrome OS,Laptop & Computer,1,3
2022-01-13,PAX,Smart Appliance,10,128
2022-01-13,Flame Boss,Smart Appliance,1,32
2022-01-13,EUT110,Tablet,1,1
2022-01-13,HappyTv,Tablet,1,1
2022-01-13,FireBoard,Smart Appliance,1,56
2022-01-13,SunPower,Solar,1,95
2022-01-13,IOTTY,Light Switch,1,141
2022-01-13,Motorola,Watch,1,1
2022-01-13,Compaq,Tablet,1,1
2022-01-13,MT003,Tablet,1,1
2022-01-13,Huawei,Tablet,28,630
2022-01-13,Google,Set Top Box,7,95934
2022-01-13,Kyocera,Tablet,5,192
2022-01-13,FreeStream,Tablet,1,1
2022-01-13,Ubiquiti,Camera,2,45
2022-01-13,Wahoo,WiFi Tracker,2,185
2022-01-13,K960,Tablet,1,1
2022-01-13,Victure,Camera,1,88
2022-01-13,Availink,Set Top Box,1,5
2022-01-13,Drcc,Tablet,1,1
2022-01-13,Amazon,Plug,1,15208
2022-01-13,Pix-Star,Picture Frame,1,415
2022-01-13,X88PRO10,Tablet,2,3
2022-01-13,microJukebox,Media Player,1,1
2022-01-13,Arnova,Tablet,1,1
2022-01-13,Litter-Robot,Smart Appliance,1,77
2022-01-13,Notepad,Tablet,1,7
2022-01-13,Pura,Smart Appliance,1,2517
2022-01-13,Tolino,Smart Appliance,1,4
2022-01-13,EDP,Tablet,1,1
2022-01-13,Miele,Smart Appliance,1,5
2022-01-13,Neabot,Robot Vacuum Cleaner,1,9
2022-01-13,GlobalNet,Tablet,1,2
2022-01-13,Ambarella,Camera,1,34
2022-01-13,Rugged,Tablet,1,1
2022-01-13,Canvia,Picture Frame,1,3
2022-01-13,Qardio,Scale,1,6
2022-01-13,Leadtek,Laptop & Computer,1,43
2022-01-13,X96H,Tablet,1,1
2022-01-13,Clova,Speaker,2,16
2022-01-13,Mill,Smart Appliance,1,9
2022-01-13,Rain Bird,Sprinkler,1,924
2022-01-13,Dyson,Smart Appliance,2,16
2022-01-13,LaIsla,TV,1,1
2022-01-13,Garmin,Wearable & Virtual Reality,5,2338
